title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A.R.E.S.: Extinction Agenda;2;;;;PlayStation 2
A.V.A: Alliance of Valiant Arms;;;;;PlayStation 2
A.V.G.M.;0.5;;;;PlayStation 2
A.W.: Phoenix Festa;4;;;;PlayStation 2
A/X-101;1;;;;PlayStation 2
A2 Racer III - Europa Tour;;;;;PlayStation 2
A2Be;;;;;PlayStation 2
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;PlayStation 2
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;PlayStation 2
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;PlayStation 2
Aaahh!!! Real Monsters;2.5;;;;PlayStation 2
Aabs Animal;0.08333333333333333;;;;PlayStation 2
Aaero;1.5;;;;PlayStation 2
Aarklash: Legacy;16;;;;PlayStation 2
Aaru's Awakening;2.5;;;;PlayStation 2
Abadox: The Deadly Inner War;0.6333333333333333;;;;PlayStation 2
Abalone;;;;;PlayStation 2
Abandoned;0.9333333333333333;;;;PlayStation 2
Abandoned Knight;;;;;PlayStation 2
Abandoned Places 2;;;;;PlayStation 2
Abandoned Places: A Time for Heroes;;;;;PlayStation 2
Abandoned: Chestnut Lodge Asylum;;;;;PlayStation 2
Abarenbou Princess;;;;;PlayStation 2
ABC Coloring Town;1.5;;;;PlayStation 2
Abducted;;;;;PlayStation 2
Abduction Action! Plus;;;;;PlayStation 2
Abduction Bit;;;;;PlayStation 2
ABE VR;;;;;PlayStation 2
Aberoth;;;;;PlayStation 2
Able Black;;;;;PlayStation 2
ABO MANDO;;;;;PlayStation 2
Abobo's Big Adventure;1.5;;;;PlayStation 2
Abode;0.75;;;;PlayStation 2
Abomination Tower;;;;;PlayStation 2
Abomination: The Nemesis Project;38;;;;PlayStation 2
About a Fox;0.08333333333333333;;;;PlayStation 2
About Elise;;;;;PlayStation 2
About Love, Hate and the other ones;5.5;;;;PlayStation 2
Above (2016);;;;;PlayStation 2
ABRACA: Imagic Games;;;;;PlayStation 2
Abrix for kids;;;;;PlayStation 2
Abrix the Robot;;;;;PlayStation 2
Absconding Zatwor;2;;;;PlayStation 2
Absence;;;;;PlayStation 2
Absent;4.5;;;;PlayStation 2
Absoloot;;;;;PlayStation 2
Absolute Drift;2;;;;PlayStation 2
Absolver;;;;;PlayStation 2
Abuse;;;;;PlayStation 2
Abyss;1;;;;PlayStation 2
Abyss Odyssey;4;;;;PlayStation 2
Abyss Raiders: Uncharted;;;;;PlayStation 2
Abyss: The Wraiths of Eden;3;;;;PlayStation 2
ABZÃ;2;;;;PlayStation 2
AC/DC Live: Rock Band Track Pack;4;;;;PlayStation 2
Academagia;;;;;PlayStation 2
Academagia: The Making of Mages;;;;;PlayStation 2
Acan's Call: Act 1;;;;;PlayStation 2
Accel World vs. Sword Art Online;25;;;;PlayStation 2
Acceleration of Suguri X Edition;0.95;;;;PlayStation 2
Acceptance (2016);;;;;PlayStation 2
Access Denied;1;;;;PlayStation 2
Accidental Runner;;;;;PlayStation 2
Accounting (2016);0.4666666666666667;;;;PlayStation 2
Ace;;;;;PlayStation 2
ACE - Arena: Cyber Evolution;;;;;PlayStation 2
ACE Academy;8;;;;PlayStation 2
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;PlayStation 2
Ace Combat 04: Shattered Skies;4;;;;PlayStation 2
Ace Combat 2;4;;;;PlayStation 2
Ace Combat 3: Electrosphere;4.5;;;;PlayStation 2
Ace Combat 5: The Unsung War;6.5;;;;PlayStation 2
Ace Combat 6: Fires of Liberation;12;;;;PlayStation 2
Ace Combat Advance;;;;;PlayStation 2
Ace Combat Infinity;4;;;;PlayStation 2
Ace Combat X: Skies of Deception;4;;;;PlayStation 2
Ace Combat Zero: The Belkan War;4.5;;;;PlayStation 2
Ace Combat: Assault Horizon;8.5;;;;PlayStation 2
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;PlayStation 2
Ace Combat: Assault Horizon Legacy;4.5;;;;PlayStation 2
Ace Combat: Joint Assault;7;;;;PlayStation 2
Ace Lightning;;;;;PlayStation 2
Ace Mathician;;;;;PlayStation 2
Ace of Aces;;;;;PlayStation 2
Ace of Protectors;;;;;PlayStation 2
Ace of Seafood;3.5;;;;PlayStation 2
Ace of Spades;;;;;PlayStation 2
Ace of Words;;;;;PlayStation 2
Ace Ventura: The CD-Rom Game;3;;;;PlayStation 2
Aces High III;;;;;PlayStation 2
Aces of the Galaxy;1;;;;PlayStation 2
Aces of the Luftwaffe;10.5;;;;PlayStation 2
Aces of the Pacific;;;;;PlayStation 2
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;PlayStation 2
Aces of War;;;;;PlayStation 2
Aces Wild: Manic Brawling Action!;2.5;;;;PlayStation 2
Achievement Unlocked;0.31666666666666665;;;;PlayStation 2
Achievement Unlocked 2;0.8166666666666667;;;;PlayStation 2
Achievement Unlocked 3;2.5;;;;PlayStation 2
